subject,selected_for_figures,scaled_repeat,pair2_rerun_repeat,same_repeat,scaled_target_median_roi_v_per_m,pair2_rerun_target_median_roi_v_per_m,scaled_selected_median_roi_v_per_m,pair2_rerun_selected_median_roi_v_per_m,scaled_selected_m2m_dir,scaled_selected_mesh_path
sub-CC120120,scaled_geometry_preserving,repeat_021,repeat_004,False,0.24075355753302574,0.2081850990653038,0.24018540233373642,0.2083480954170227,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC120120_repeatability/remesh/repeats/repeat_021/sub-CC120120/anat/m2m_sub-CC120120,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC120120_repeatability/remesh/repeats/repeat_021/sub-CC120120/anat/m2m_sub-CC120120/sub-CC120120.msh
sub-CC122620,scaled_geometry_preserving,repeat_016,repeat_003,False,0.26432250440120697,0.24339746311306953,0.2642521262168884,0.2433190792798996,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC122620_repeatability/remesh/repeats/repeat_016/sub-CC122620/anat/m2m_sub-CC122620,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC122620_repeatability/remesh/repeats/repeat_016/sub-CC122620/anat/m2m_sub-CC122620/sub-CC122620.msh
sub-CC222496,scaled_geometry_preserving,repeat_013,repeat_002,False,0.20410076528787613,0.1761467158794403,0.2040633112192154,0.17600849270820618,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC222496_repeatability/remesh/repeats/repeat_013/sub-CC222496/anat/m2m_sub-CC222496,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC222496_repeatability/remesh/repeats/repeat_013/sub-CC222496/anat/m2m_sub-CC222496/sub-CC222496.msh
sub-CC321506,scaled_geometry_preserving,repeat_009,repeat_001,False,0.2656937763094902,0.245763398706913,0.2661219984292984,0.2452777773141861,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC321506_repeatability/remesh/repeats/repeat_009/sub-CC321506/anat/m2m_sub-CC321506,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC321506_repeatability/remesh/repeats/repeat_009/sub-CC321506/anat/m2m_sub-CC321506/sub-CC321506.msh
sub-CC410182,scaled_geometry_preserving,repeat_004,repeat_005,False,0.28351298719644547,0.24025000631809235,0.28386959433555603,0.2401028424501419,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC410182_repeatability/remesh/repeats/repeat_004/sub-CC410182/anat/m2m_sub-CC410182,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC410182_repeatability/remesh/repeats/repeat_004/sub-CC410182/anat/m2m_sub-CC410182/sub-CC410182.msh
sub-CC420075,scaled_geometry_preserving,repeat_003,repeat_002,False,0.22381968423724174,0.19592462107539177,0.22440636157989502,0.19568851590156555,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC420075_repeatability/remesh/repeats/repeat_003/sub-CC420075/anat/m2m_sub-CC420075,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC420075_repeatability/remesh/repeats/repeat_003/sub-CC420075/anat/m2m_sub-CC420075/sub-CC420075.msh
sub-CC510534,scaled_geometry_preserving,repeat_009,repeat_022,False,0.1778559684753418,0.16138171404600143,0.1777036041021347,0.16126884520053864,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC510534_repeatability/remesh/repeats/repeat_009/sub-CC510534/anat/m2m_sub-CC510534,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC510534_repeatability/remesh/repeats/repeat_009/sub-CC510534/anat/m2m_sub-CC510534/sub-CC510534.msh
sub-CC520209,scaled_geometry_preserving,repeat_011,repeat_002,False,0.23837047070264816,0.20885149762034416,0.2386329621076584,0.20869877189397812,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC520209_repeatability/remesh/repeats/repeat_011/sub-CC520209/anat/m2m_sub-CC520209,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC520209_repeatability/remesh/repeats/repeat_011/sub-CC520209/anat/m2m_sub-CC520209/sub-CC520209.msh
sub-CC711128,scaled_geometry_preserving,repeat_022,repeat_015,False,0.20834378898143768,0.17120879888534546,0.20785818994045258,0.17113415896892548,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC711128_repeatability/remesh/repeats/repeat_022/sub-CC711128/anat/m2m_sub-CC711128,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC711128_repeatability/remesh/repeats/repeat_022/sub-CC711128/anat/m2m_sub-CC711128/sub-CC711128.msh
sub-CC721418,scaled_geometry_preserving,repeat_005,repeat_006,False,0.22903155162930489,0.1824711486697197,0.22910533845424652,0.18240061402320862,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC721418_repeatability/remesh/repeats/repeat_005/sub-CC721418/anat/m2m_sub-CC721418,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC721418_repeatability/remesh/repeats/repeat_005/sub-CC721418/anat/m2m_sub-CC721418/sub-CC721418.msh
